dataset_id,method,accuracy,precision,recall,f1,false_positive_rate,tn,fp,fn,tp,threshold,recon_weight,latent_weight,threshold_percentile,parameters,training_seconds,inference_model_seconds_per_10s_file,inference_total_seconds_per_10s_file
id_00,autoencoder,0.6447368421052632,0.7745664739884393,0.6600985221674877,0.7127659574468086,0.38613861386138615,62,39,69,134,0.036068430415774524,0.0,1.0,50,18833,53.551356400006625,0.0021774179999920307,0.012268018000686425
id_00,supervised_cnn,0.9787985865724381,0.987012987012987,0.9382716049382716,0.9620253164556961,0.0049504950495049506,201,1,5,76,0.4,,,,23585,120.13767389999703,0.0028507995000109075,0.012941399500705301
id_02,autoencoder,0.7142857142857143,0.7438423645320197,0.8435754189944135,0.7905759162303665,0.5148514851485149,49,52,28,151,-0.17059830487869643,0.0,1.0,50,18833,50.507740599998215,0.001892120000011346,0.012146619997256494
id_02,supervised_cnn,0.9890909090909091,0.96,1.0,0.9795918367346939,0.014778325123152709,200,3,0,72,0.4,,,,23585,121.55316920000041,0.002449209999977029,0.012703709997222177
id_04,autoencoder,0.6642599277978339,0.7341040462427746,0.7298850574712644,0.7319884726224785,0.44660194174757284,57,46,47,127,-0.11210279316395647,0.0,1.0,50,18833,65.25725529999909,0.0021284675000060814,0.011580467498424696
id_04,supervised_cnn,0.9783393501805054,0.9210526315789473,1.0,0.958904109589041,0.028985507246376812,201,6,0,70,0.4,,,,23585,114.28209210000205,0.0027734745000270776,0.012225474498445691
id_06,autoencoder,0.8297872340425532,0.7982062780269058,0.9834254143646409,0.8811881188118812,0.44554455445544555,56,45,3,178,0.14813252767732818,1.0,0.5,50,18833,48.58472880000045,0.002446864999983518,0.012688465000865108
id_06,supervised_cnn,0.9963636363636363,0.9863013698630136,1.0,0.993103448275862,0.0049261083743842365,202,1,0,72,0.4,,,,23585,111.37784290000127,0.0036689050000131827,0.013910505000894772
